theta_rad,x_m,v_norm
1.6179202165987436,0.08678400634201183,0.7428583612545812
1.6336281798666925,0.08678400634182787,0.7428583612545746
1.6493361431346416,0.0875069705396818,0.7413411173692365
1.6650441064025905,0.08978152910302364,0.7365472460392802
1.6807520696705394,0.09142078118820528,0.7330729123787906
1.6964600329384885,0.09142078118803208,0.7330729123787573
1.7121679962064373,0.09213401753661177,0.7311559109010145
1.7278759594743864,0.09437528087487233,0.7250989687624139
1.7435839227423353,0.09598797248955725,0.7207092310111558
1.7592918860102844,0.09598797248939367,0.7207092310110963
1.7749998492782333,0.09668897171827405,0.7183975644672248
1.7907078125461822,0.09888904416285144,0.711093641824213
1.8064157758141313,0.1004694839166397,0.705800161347659
1.8221237390820801,0.10046948391648476,0.7058001613475741
1.8378317023500292,0.10115576865446152,0.703098720941693
