rpm,p_int_bar,fuel_mass_mg,status,doe_status,q_total_j,phi_est,objective,abs_work_j,abs_work_net_j,w_comp_est_j,p_max_bar,thermal_efficiency,iter_count,solver_status
723.5714285714286,1.7221428571428572,250.50000000000003,Optimal,Completed,11022.0,1.1720311776668249,65226.95595747389,3435.507498571204,2781.2762255650664,654.2312730061377,252.9559501943455,0.25233861600118546,558,Solve_Succeeded
723.5714285714286,1.7221428571428572,286.14285714285717,Optimal,Completed,12590.285714285714,1.3387958077368978,780539.4303440568,445.2015387673184,-209.0297342388193,654.2312730061377,25.94665480211779,-0.016602461531245574,1353,Solve_Succeeded
723.5714285714286,2.2928571428571427,214.8571428571429,Optimal,Completed,9453.714285714286,0.7550459957183084,545288.6987692908,422.61617653143935,-448.4258750445465,871.0420515759859,43.778123159537486,-0.0474338298675022,1093,Solve_Succeeded
723.5714285714286,2.2928571428571427,250.50000000000003,Optimal,Completed,11022.0,0.8803012988643975,668644.9943617343,518.5344327567461,-352.5076188192397,871.0420515759859,46.76329940829347,-0.03198218279978586,1219,Solve_Succeeded
723.5714285714286,2.2928571428571427,286.14285714285717,Optimal,Completed,12590.285714285714,1.0055566020104865,750892.0144693957,531.0144886248131,-340.02756295117274,871.0420515759859,45.74714906959127,-0.02700713634841158,1242,Solve_Succeeded
723.5714285714286,2.2928571428571427,321.78571428571433,Optimal,Completed,14158.571428571431,1.1308119051565757,828985.3790209508,546.6529799009485,-324.38907167503737,871.0420515759859,44.74639486825305,-0.022911144200638292,1453,Solve_Succeeded
723.5714285714286,2.2928571428571427,357.42857142857144,Optimal,Completed,15726.857142857143,1.2560672083026645,903664.4032873524,557.89318193865,-313.1488696373359,871.0420515759859,43.766456981582024,-0.01991172595978991,1313,Solve_Succeeded
723.5714285714286,2.2928571428571427,393.0714285714286,Optimal,Completed,17295.14285714286,1.3813225114487537,975621.2076711757,571.0086934173546,-300.03335815863124,871.0420515759859,42.805994150169234,-0.017347839253881506,1333,Solve_Succeeded
723.5714285714286,2.8635714285714284,250.50000000000003,Optimal,Completed,11022.0,0.7048558666387418,583576.8434130928,540.8265961343816,-547.0262340114525,1087.852830145834,64.08252757026854,-0.04963039684371734,943,Solve_Succeeded
723.5714285714286,2.8635714285714284,286.14285714285717,Optimal,Completed,12590.285714285714,0.8051475910335898,601947.9470108747,532.8477703314081,-555.005059814426,1087.852830145834,47.93642421698985,-0.04408200674784394,1217,Solve_Succeeded
