theta,Rp,Rr,C
129.6,75.46289293762004,131.966765256153,56.50387231853297
130.5,75.17285182505188,133.18623592608284,58.01338410103096
131.4,75.36832718080355,135.45535198126188,60.08702480045833
132.3,75.36207626067605,137.35999247857194,61.997916217895884
133.20000000000002,74.86736718547277,138.2980986665681,63.43073148109533
134.1,74.5884028777812,139.73799941384092,65.14959653605972
135.0,74.75856341264871,142.181827044704,67.42326363205527
135.9,74.74134200576599,144.28737416758798,69.54603216182201
136.8,74.27628222711738,145.48882396459538,71.21254173747799
137.70000000000002,74.00834833855984,147.17329366559608,73.16494532703622
138.6,74.14727706995488,149.81303538778354,75.66575831782866
139.5,74.11374288965074,152.14148980384203,78.02774691419128
140.4,73.67693142903441,153.631950341876,79.95501891284158
141.3,73.4143491423731,155.5841760726545,82.16982693028137
142.20000000000002,73.50821683893652,158.4367962567668,84.92857941783029
143.1,73.4444926915293,161.00531413694495,87.56082144541563
144.0,73.02607912691047,162.80652967356144,89.78045054665095
144.9,72.75253055661598,165.04240507527948,92.2898745186635
145.8,72.77360269976386,168.11174566387422,95.33814296411035
146.70000000000002,72.65072705336128,170.9225521022302,98.27182504886893
147.6,72.22522292603308,173.04143247654935,100.81620955051626
148.5,71.9056718495306,175.55572533235522,103.6500534828246
149.4,71.80355771846635,178.81481666142096,107.01125894295461
150.3,71.56809619952789,181.8351023759554,110.26700617642751
151.20000000000002,71.0838260079076,184.24109119708726,113.15726518917967
152.1,70.6539218433723,186.98054059229435,116.32661874892203
153.0,70.34629275861491,190.34004824995742,119.99375549134253
153.9,69.91138878300312,193.4667465987456,123.55535781574247
154.8,69.28094511381147,196.052490954799,126.77154584098754
155.70000000000002,68.64131344501457,198.87333463977893,130.23202119476437
156.6,68.01599038204408,202.13859597419895,134.12260559215486
157.5,67.26830292859796,205.1548849544477,137.88658202584975
158.4,66.37888174579884,207.69183209435283,141.31295034855398
159.3,65.4188837561249,210.32426709260207,144.90538333647717
160.20000000000002,64.37779456495569,213.17887373919376,148.80107917423808
161.1,63.23417129381628,215.7529938461708,152.51882255235452
162.0,62.0133619430746,217.90398836279786,155.89062641972325
162.9,60.69731051188275,220.00112855969945,159.3038180478167
163.8,59.26453245544609,222.10610660979995,162.84157415435388
164.70000000000002,57.78682298560329,223.92321224520143,166.13638925959813
165.6,56.31618600025185,225.3970368279796,169.08085082772777
166.5,54.791316032301836,226.72729707409712,171.9359810417953
167.4,53.200191010026124,227.94400217543281,174.7438111654067
168.3,51.6526522683228,228.9276218920541,177.27496962373132
169.20000000000002,50.195039668999414,229.68251233702972,179.4874726680303
170.1,48.7674357677,230.29687493198614,181.52943916428615
171.0,47.372070796584815,230.789984536714,183.4179137401292
171.9,46.09545767386119,231.1422079989356,185.04675032507438
172.8,44.953450309809945,231.37551317328453,186.4220628634746
173.70000000000002,43.91796823698689,231.5198567444073,187.6018885074204
174.6,43.00399065418567,231.58809526006655,188.58410460588087
175.5,42.242709064262925,231.59005439372214,189.34734532945922
176.4,41.6147630152529,231.5397445655114,189.9249815502585
177.3,41.139260898874596,231.44478274639903,190.30552184752443
178.20000000000002,40.844848672205416,231.31134804796596,190.46649937576055
179.1,40.70205493584815,231.14462461309137,190.4425696772432
180.0,40.659790739576366,230.9465865272847,190.28679578770831
180.9,40.78960325050779,230.71676587535094,189.92716262484316
181.8,41.13530455429994,230.4517292665183,189.31642471221835
182.70000000000002,41.60843864028134,230.14779625592723,188.53935761564588
183.6,42.129001157835575,229.80359225815167,187.6745911003161
184.5,42.820375653317654,229.40315577432514,186.5827801210075
185.4,43.73943437037234,228.92386756396496,185.1844331935926
186.3,44.74090876256764,228.37179782406093,183.6308890614933
187.20000000000002,45.720180576322626,227.76303345977354,182.0428528834509
188.1,46.84328515746814,227.0355647531948,180.19227959572666
189.0,48.17068811069587,226.1300425497805,177.95935443908465
189.9,49.51272427342844,225.10971026276155,175.59698598933312
190.8,50.75559552177313,224.04566100824448,173.29006548647135
191.70000000000002,52.08210354033589,222.77588953802893,170.69378599769303
192.6,53.540213566877405,221.18483455060203,167.64462098372462
193.5,54.93648554831827,219.47145248316997,164.5349669348517
194.4,56.18160932086569,217.80860216591134,161.62699284504563
